PERMNO,date,TICKER,PRC,RET
14593,20180131,AAPL,167.42999,-0.010636
14593,20180228,AAPL,178.12000,0.067610
14593,20180329,AAPL,167.78000,-0.058051
14593,20180430,AAPL,165.25999,-0.015020
14593,20180531,AAPL,186.87000,0.135181
14593,20180629,AAPL,185.11000,-0.009418
14593,20180731,AAPL,190.28999,0.027983
14593,20180831,AAPL,227.63000,0.200063
14593,20180928,AAPL,225.74001,-0.008303
14593,20181031,AAPL,218.86000,-0.030478
14593,20181130,AAPL,178.58000,-0.180709
14593,20181231,AAPL,157.74001,-0.116698
59328,20090130,INTC,12.90000,-0.120055
59328,20090227,INTC,12.74000,-0.001550
59328,20090331,INTC,15.03000,0.179749
59328,20090430,INTC,15.78000,0.049900
59328,20090529,INTC,15.72000,0.005070
59328,20090630,INTC,16.55000,0.052799
59328,20090731,INTC,19.25000,0.163142
59328,20090831,INTC,20.32000,0.062857
59328,20090930,INTC,19.57000,-0.036909
59328,20091030,INTC,19.11000,-0.023505
59328,20091130,INTC,19.20000,0.012036
59328,20091231,INTC,20.40000,0.062500
59328,20100129,INTC,19.40000,-0.049020
59328,20100226,INTC,20.53000,0.066366
59328,20100331,INTC,22.29000,0.085728
59328,20100430,INTC,22.84000,0.024675
59328,20100528,INTC,21.42000,-0.055276
59328,20100630,INTC,19.45000,-0.091970
59328,20100730,INTC,20.60000,0.059126
59328,20100831,INTC,17.66500,-0.134830
59328,20100930,INTC,19.20000,0.086895
59328,20101029,INTC,20.05000,0.044271
59328,20101130,INTC,21.15750,0.063092
59328,20101231,INTC,21.03000,-0.006026
59328,20110131,INTC,21.46000,0.020447
59328,20110228,INTC,21.47000,0.008910
59328,20110331,INTC,20.18000,-0.060084
59328,20110429,INTC,23.15000,0.147175
59328,20110531,INTC,22.51000,-0.019819
59328,20110630,INTC,22.16000,-0.015549
59328,20110729,INTC,22.33000,0.007671
59328,20110831,INTC,20.13000,-0.089118
59328,20110930,INTC,21.33500,0.059861
59328,20111031,INTC,24.54000,0.150223
59328,20111130,INTC,24.91000,0.023635
59328,20111230,INTC,24.25000,-0.026495
59328,20120131,INTC,26.42000,0.089485
59328,20120229,INTC,26.88000,0.025360
59328,20120330,INTC,28.11500,0.045945
59328,20120430,INTC,28.39500,0.009959
59328,20120531,INTC,25.84000,-0.082585
59328,20120629,INTC,26.65000,0.031347
59328,20120731,INTC,25.70000,-0.035647
59328,20120831,INTC,24.83000,-0.025097
59328,20120928,INTC,22.65500,-0.087596
59328,20121031,INTC,21.63000,-0.045244
59328,20121130,INTC,19.56500,-0.085067
59328,20121231,INTC,20.62000,0.053923
59328,20130131,INTC,21.04000,0.020369
59328,20130228,INTC,20.88000,0.003089
59328,20130328,INTC,21.83500,0.045738
59328,20130430,INTC,23.95000,0.096863
59328,20130531,INTC,24.28000,0.023173
59328,20130628,INTC,24.23000,-0.002059
59328,20130731,INTC,23.33500,-0.036938
59328,20130830,INTC,21.98000,-0.048425
59328,20130930,INTC,22.92100,0.042812
59328,20131031,INTC,24.47000,0.067580
59328,20131129,INTC,23.84000,-0.016551
59328,20131231,INTC,25.95500,0.088716
59328,20140131,INTC,24.54000,-0.054517
59328,20140228,INTC,24.76000,0.018134
59328,20140331,INTC,25.81400,0.042569
59328,20140430,INTC,26.69000,0.033935
59328,20140530,INTC,27.32000,0.032034
59328,20140630,INTC,30.90000,0.131040
59328,20140731,INTC,33.89000,0.096764
59328,20140829,INTC,34.92000,0.037032
59328,20140930,INTC,34.82000,-0.002864
59328,20141031,INTC,34.01000,-0.023263
59328,20141128,INTC,37.25000,0.101882
59328,20141231,INTC,36.29000,-0.025772
59328,20150130,INTC,33.04000,-0.089556
59328,20150227,INTC,33.25000,0.013620
59328,20150331,INTC,31.27000,-0.059549
59328,20150430,INTC,32.55000,0.040934
59328,20150529,INTC,34.46000,0.066052
59328,20150630,INTC,30.41500,-0.117382
59328,20150731,INTC,28.95000,-0.048167
59328,20150831,INTC,28.54000,-0.005872
59328,20150930,INTC,30.14000,0.056062
59328,20151030,INTC,33.86000,0.123424
59328,20151130,INTC,34.77000,0.033963
59328,20151231,INTC,34.45000,-0.009203
59328,20160129,INTC,31.02000,-0.099565
59328,20160229,INTC,29.59000,-0.037718
59328,20160331,INTC,32.35000,0.093275
59328,20160429,INTC,30.28000,-0.063988
59328,20160531,INTC,31.59000,0.051849
59328,20160630,INTC,32.80000,0.038303
59328,20160729,INTC,34.86000,0.062805
59328,20160831,INTC,35.89000,0.037005
59328,20160930,INTC,37.75000,0.051825
59328,20161031,INTC,34.87000,-0.076291
59328,20161130,INTC,34.70000,0.002581
59328,20161230,INTC,36.27000,0.045245
59328,20170131,INTC,36.82000,0.015164
59328,20170228,INTC,36.20000,-0.009777
59328,20170331,INTC,36.07000,-0.003591
59328,20170428,INTC,36.15000,0.002218
59328,20170531,INTC,36.11000,0.006432
59328,20170630,INTC,33.74000,-0.065633
59328,20170731,INTC,35.47000,0.051274
59328,20170831,INTC,35.07000,-0.003595
59328,20170929,INTC,38.08000,0.085828
59328,20171031,INTC,45.49000,0.194590
59328,20171130,INTC,44.84000,-0.008299
59328,20171229,INTC,46.16000,0.029438
59328,20180131,INTC,48.14000,0.042894
59328,20180228,INTC,49.29000,0.030121
59328,20180329,INTC,52.08000,0.056604
59328,20180430,INTC,51.62000,-0.008833
59328,20180531,INTC,55.20000,0.075165
59328,20180629,INTC,49.71000,-0.099457
59328,20180731,INTC,48.10000,-0.032388
59328,20180831,INTC,48.43000,0.013098
59328,20180928,INTC,47.29000,-0.023539
59328,20181031,INTC,46.88000,-0.008670
59328,20181130,INTC,49.31000,0.058234
59328,20181231,INTC,46.93000,-0.048266
61241,20090130,AMD,2.19000,0.013889
61241,20090227,AMD,2.18000,-0.004566
61241,20090331,AMD,3.05000,0.399083
61241,20090430,AMD,3.61000,0.183607
61241,20090529,AMD,4.54000,0.257618
61241,20090630,AMD,3.87000,-0.147577
61241,20090731,AMD,3.66000,-0.054264
61241,20090831,AMD,4.36000,0.191257
61241,20090930,AMD,5.66000,0.298165
61241,20091030,AMD,4.60000,-0.187279
61241,20091130,AMD,7.01000,0.523913
61241,20091231,AMD,9.68000,0.380884
61241,20100129,AMD,7.46000,-0.229339
61241,20100226,AMD,7.91000,0.060322
61241,20100331,AMD,9.27000,0.171934
61241,20100430,AMD,9.07000,-0.021575
61241,20100528,AMD,8.57000,-0.055127
61241,20100630,AMD,7.32000,-0.145858
61241,20100730,AMD,7.49000,0.023224
61241,20100831,AMD,5.61000,-0.251001
61241,20100930,AMD,7.11000,0.267380
61241,20101029,AMD,7.33500,0.031646
61241,20101130,AMD,7.29000,-0.006135
61241,20101231,AMD,8.18000,0.122085
61241,20110131,AMD,7.83000,-0.042787
61241,20110228,AMD,9.21000,0.176245
61241,20110331,AMD,8.60000,-0.066232
61241,20110429,AMD,9.10000,0.058140
61241,20110531,AMD,8.68000,-0.046154
61241,20110630,AMD,6.99000,-0.194701
61241,20110729,AMD,7.34000,0.050072
61241,20110831,AMD,6.83000,-0.069482
61241,20110930,AMD,5.08000,-0.256223
61241,20111031,AMD,5.83000,0.147638
61241,20111130,AMD,5.69000,-0.024014
61241,20111230,AMD,5.40000,-0.050967
61241,20120131,AMD,6.71000,0.242593
61241,20120229,AMD,7.35000,0.095380
61241,20120330,AMD,8.02000,0.091157
61241,20120430,AMD,7.36000,-0.082294
61241,20120531,AMD,6.08000,-0.173913
61241,20120629,AMD,5.73000,-0.057566
61241,20120731,AMD,4.06000,-0.291449
61241,20120831,AMD,3.72000,-0.083744
61241,20120928,AMD,3.37000,-0.094086
61241,20121031,AMD,2.05000,-0.391691
61241,20121130,AMD,2.20000,0.073171
61241,20121231,AMD,2.40000,0.090909
61241,20130131,AMD,2.60000,0.083333
61241,20130228,AMD,2.49000,-0.042308
61241,20130328,AMD,2.55000,0.024096
61241,20130430,AMD,2.82000,0.105882
61241,20130531,AMD,4.00000,0.418440
61241,20130628,AMD,4.08000,0.020000
61241,20130731,AMD,3.77000,-0.075980
61241,20130830,AMD,3.27000,-0.132626
61241,20130930,AMD,3.81000,0.165138
61241,20131031,AMD,3.34000,-0.123360
61241,20131129,AMD,3.64000,0.089820
61241,20131231,AMD,3.87000,0.063187
61241,20140131,AMD,3.43000,-0.113695
61241,20140228,AMD,3.71000,0.081633
61241,20140331,AMD,4.01000,0.080863
61241,20140430,AMD,4.09000,0.019950
61241,20140530,AMD,4.00000,-0.022005
61241,20140630,AMD,4.19000,0.047500
61241,20140731,AMD,3.91000,-0.066826
61241,20140829,AMD,4.17000,0.066496
61241,20140930,AMD,3.41000,-0.182254
61241,20141031,AMD,2.80000,-0.178886
61241,20141128,AMD,2.79000,-0.003571
61241,20141231,AMD,2.67000,-0.043011
61241,20150130,AMD,2.57000,-0.037453
61241,20150227,AMD,3.11000,0.210117
61241,20150331,AMD,2.68000,-0.138264
61241,20150430,AMD,2.26000,-0.156716
61241,20150529,AMD,2.28000,0.008850
61241,20150630,AMD,2.40000,0.052632
61241,20150731,AMD,1.93000,-0.195833
61241,20150831,AMD,1.81000,-0.062176
61241,20150930,AMD,1.72000,-0.049724
61241,20151030,AMD,2.12000,0.232558
61241,20151130,AMD,2.36000,0.113208
61241,20151231,AMD,2.87000,0.216102
61241,20160129,AMD,2.20000,-0.233449
61241,20160229,AMD,2.14000,-0.027273
61241,20160331,AMD,2.85000,0.331776
61241,20160429,AMD,3.55000,0.245614
61241,20160531,AMD,4.57000,0.287324
61241,20160630,AMD,5.14000,0.124726
61241,20160729,AMD,6.86000,0.334630
61241,20160831,AMD,7.40000,0.078717
61241,20160930,AMD,6.91000,-0.066216
61241,20161031,AMD,7.23000,0.046310
61241,20161130,AMD,8.91000,0.232365
61241,20161230,AMD,11.34000,0.272727
61241,20170131,AMD,10.37000,-0.085538
61241,20170228,AMD,14.46000,0.394407
61241,20170331,AMD,14.55000,0.006224
61241,20170428,AMD,13.30000,-0.085911
61241,20170531,AMD,11.19000,-0.158647
61241,20170630,AMD,12.48000,0.115281
61241,20170731,AMD,13.61000,0.090545
61241,20170831,AMD,13.00000,-0.044820
61241,20170929,AMD,12.75000,-0.019231
61241,20171031,AMD,10.98500,-0.138431
61241,20171130,AMD,10.89000,-0.008648
61241,20171229,AMD,10.28000,-0.056015
61241,20180131,AMD,13.74000,0.336576
61241,20180228,AMD,12.11000,-0.118632
61241,20180329,AMD,10.05000,-0.170107
61241,20180430,AMD,10.88000,0.082587
61241,20180531,AMD,13.73000,0.261948
61241,20180629,AMD,14.99000,0.091770
61241,20180731,AMD,18.33000,0.222815
61241,20180831,AMD,25.17000,0.373159
61241,20180928,AMD,30.89000,0.227255
61241,20181031,AMD,18.21000,-0.410489
61241,20181130,AMD,21.30000,0.169687
61241,20181231,AMD,18.46000,-0.133333
